"date","Topic 1: Central Banks","Topic 2: News","Topic 3: Emerging Markets","Topic 4: Eurozone","Topic 5: Private Investment","Topic 6: Miscellaneous","Topic 7: Financial Markets","Topic 8: Companies","Topic 9: German Politics","Topic 10: Raw Materials"
2011-11-01,14659,8863,4194,16963,10867,6862,6550,2887,10216,4212
2011-12-01,11032,9192,4621,14251,8464,6983,5334,3095,6096,5387
2012-01-01,10013,10574,4798,9880,7193,4662,6040,2915,4815,4651
2012-02-01,4563,9999,4413,7617,7762,6814,4293,2844,5216,3452
2012-03-01,7823,8707,4752,9119,8697,7338,5087,3358,4898,5129
2012-04-01,8564,9951,4387,6932,10052,5739,5174,2868,5612,4584
2012-05-01,9898,8346,2813,13608,7531,5796,3813,2303,6265,2652
2012-06-01,8357,6737,3591,10972,7748,6299,3971,2318,4183,3069
2012-07-01,9220,7779,4600,11244,9699,8252,4195,2969,5312,3950
2012-08-01,13064,9280,4097,12450,9872,6770,7180,3092,5291,5918
2012-09-01,17526,8779,3895,12268,8370,7798,7132,4272,5810,3163
2012-10-01,7658,8580,5787,11114,9871,7465,5341,2756,4731,4197
2012-11-01,3538,8019,3313,6991,11826,5130,3921,2234,5767,3737
2012-12-01,5155,9264,2423,6757,8047,5005,5126,2119,3724,3284
2013-01-01,8406,10743,3575,8860,8494,6385,6194,3689,4847,5971
2013-02-01,7808,7919,2940,7721,7826,5754,5381,2723,4589,3015
2013-03-01,7916,6017,3878,9684,11208,6346,5143,2815,5481,3702
2013-04-01,7608,6696,5915,11096,11293,6726,6398,4080,5401,4084
2013-05-01,7195,6266,3164,7935,8596,5084,6986,2842,3494,4363
2013-06-01,6836,5910,5582,8385,7020,6642,6141,3140,2731,3896
2013-07-01,7143,7252,3156,9820,6385,6304,5563,2376,6065,3790
2013-08-01,6622,7806,2817,5332,7760,5231,5446,2400,3904,4280
2013-09-01,6123,5394,2270,5938,4325,4483,3737,1435,6198,2621
2013-10-01,6710,8242,5833,8393,8671,6002,4742,3109,4651,3769
2013-11-01,10567,8289,3332,7198,11956,5520,6689,2349,5651,3527
2013-12-01,7423,6731,2300,7985,5875,5799,5907,2856,3823,2871
2014-01-01,7406,7873,3846,5748,5934,5101,5511,3213,2664,4990
2014-02-01,6131,6109,2261,6851,4674,3470,6214,1630,3515,2986
2014-03-01,7062,8625,2593,5594,6066,3853,3443,2417,2798,2530
2014-04-01,8167,6346,2759,6249,5581,4514,4254,2133,5185,3697
2014-05-01,10066,6987,2477,7678,3716,4950,4848,2012,4292,3438
2014-06-01,10808,7470,3076,7801,7274,5324,4851,2026,2545,2268
2014-07-01,8132,8646,3389,9127,9402,5577,5229,2923,5008,3666
2014-08-01,10675,6205,4042,6455,6748,6017,7064,2877,4677,5117
2014-09-01,7372,4816,2347,5984,5958,2819,4669,1711,3922,3113
2014-10-01,9302,7520,3532,9680,4940,5635,4958,3212,4692,4188
2014-11-01,8863,8095,1736,6123,8381,4311,7326,2133,3408,5294
2014-12-01,8755,6786,1793,6269,4987,5303,4851,2859,6560,4999
2015-01-01,15802,12320,2813,10800,7000,4759,6025,2355,3867,6537
2015-02-01,6795,8140,3495,8007,4743,6118,4396,2165,3972,3851
2015-03-01,8487,6152,2655,5853,5175,5153,5772,2298,3199,4201
2015-04-01,5774,4364,1585,5215,5184,3548,4204,1699,1948,2440
2015-05-01,4491,4318,1531,5590,5027,5495,5841,1574,2960,3000
2015-06-01,7346,6943,1877,7417,5089,3707,6039,1431,2629,3353
2015-07-01,5551,5885,1605,7976,4475,4652,4716,2533,2837,3775
2015-08-01,6095,6030,2283,4787,4443,4044,8643,1438,1610,4902
2015-09-01,8138,6210,1214,4506,4194,5194,5521,1740,1880,2341
2015-10-01,7389,4896,2305,4619,4397,5680,5156,2236,2596,2869
2015-11-01,8231,3641,2205,5933,3274,3350,5514,1337,1936,1928
2015-12-01,9345,7798,3617,5679,4728,6212,6244,2568,2405,5697
2016-01-01,7386,8394,1318,4684,3339,4650,6745,1600,1964,4113
2016-02-01,5252,5343,2123,7473,3983,6380,4711,1932,2104,4527
2016-03-01,12193,6479,1751,4978,5536,4338,5662,1734,2053,1672
2016-04-01,9984,8270,3010,7028,5581,6685,6509,1632,1974,3556
2016-05-01,6643,5674,2155,6543,3900,4469,5106,1945,2321,2625
2016-06-01,6826,4724,1328,6217,3852,5078,4255,2096,1714,2381
2016-07-01,4572,6902,3018,6180,4574,6123,7463,2121,2022,3159
2016-08-01,8299,6026,1650,5453,3838,4316,5315,1408,1674,2284
