"date","Topic 1: Central Banks","Topic 2: News","Topic 3: Emerging Markets","Topic 4: Eurozone","Topic 5: Private Investment","Topic 6: Miscellaneous","Topic 7: Financial Markets","Topic 8: Companies","Topic 9: German Politics","Topic 10: Raw Materials"
2010-04-01,1.88990767549385e-05,1.02943593681201e-05,5.12641848769246e-06,1.70417481875907e-05,1.3756688116194e-05,7.91161283116151e-06,9.66034437135567e-06,3.74180639148394e-06,7.7646874414831e-06,8.71650844418239e-06
2010-05-01,2.33478158413256e-05,9.94598912973645e-06,7.26595182136089e-06,2.2471965215455e-05,1.13516145723789e-05,9.51134415622389e-06,1.04806844556425e-05,4.28740362551634e-06,1.03511110484444e-05,6.4573481536564e-06
2010-06-01,1.58004994428391e-05,1.49868955030143e-05,6.8266725481688e-06,1.57711336955418e-05,1.34011451489609e-05,9.33830764053657e-06,9.45058843902618e-06,2.73619668934701e-06,7.52972308640379e-06,7.32761764912248e-06
2010-07-01,7.29164013254233e-06,9.77376343141837e-06,5.72177773442203e-06,7.60432319746568e-06,7.70102930001929e-06,6.95639231035648e-06,4.22766844996873e-06,2.27581694676167e-06,3.48303146030592e-06,4.4597630960974e-06
2010-08-01,1.21751417081481e-05,1.15012950776413e-05,4.64715482782729e-06,9.94061487074554e-06,1.20411068197911e-05,7.51880640851551e-06,8.88486061313957e-06,3.11034384762522e-06,6.38226399902318e-06,6.19131018547358e-06
2010-09-01,1.20132029892915e-05,1.20737229035952e-05,6.36349098928984e-06,1.23905624549501e-05,1.19081831379997e-05,9.38414671203806e-06,9.90924596849694e-06,3.4887950598624e-06,6.65897057089043e-06,7.07014998865993e-06
2010-10-01,1.57377200498083e-05,1.21227504202689e-05,5.84810786485204e-06,1.19958475371257e-05,1.07796949070027e-05,6.44208385956425e-06,1.07391564859986e-05,3.00513077443421e-06,5.31582077166779e-06,9.15815806683881e-06
2010-11-01,2.29021592531271e-05,1.37048893006872e-05,5.82500019024143e-06,1.47295188444604e-05,1.59174135353182e-05,9.19726995243983e-06,1.23293335212262e-05,3.33661415536381e-06,7.77667551171407e-06,1.27196685855207e-05
2010-12-01,1.80514126450529e-05,1.72855742784737e-05,9.60309682137429e-06,2.03747425211918e-05,1.60533489515734e-05,1.49450345514004e-05,1.05702904438855e-05,3.66914021920609e-06,8.7821869318052e-06,9.57384007478588e-06
2011-01-01,2.26700410803566e-05,2.41369975051387e-05,1.1490821429431e-05,1.57884979069995e-05,1.47666868800824e-05,1.37266653596162e-05,1.3241052198309e-05,4.0366594033659e-06,1.0096706978845e-05,1.39674485520976e-05
2011-02-01,2.05475644134132e-05,2.27202042079618e-05,1.27726040950812e-05,1.81689148753955e-05,1.44149595499595e-05,1.22842847031546e-05,1.58989927019865e-05,4.03244997864421e-06,1.43768095974652e-05,1.02737822067066e-05
2011-03-01,2.02200528889192e-05,2.26896265806068e-05,6.04175514951488e-06,1.62998556263013e-05,2.18379917506143e-05,9.29269124907385e-06,1.95926205485514e-05,4.58778527276926e-06,9.57378093755861e-06,9.69759425272453e-06
2011-04-01,2.39373971000072e-05,2.11755358570767e-05,7.93417772470483e-06,1.72872759091546e-05,1.5395381962828e-05,1.18338346241109e-05,1.75570037609401e-05,6.24932839700237e-06,1.00426137492254e-05,1.0304743633355e-05
2011-05-01,1.34062426873122e-05,1.5153252060822e-05,3.79947744116096e-06,1.51032354325416e-05,1.36063092004339e-05,6.6325621716176e-06,1.13805692419541e-05,3.77625543517361e-06,7.27920572295764e-06,6.64328002053483e-06
2011-06-01,1.70130568625511e-05,1.76024759016086e-05,7.51868676651372e-06,1.52324773961301e-05,1.30206157060085e-05,9.29515878318523e-06,1.12646809380846e-05,3.85278786505866e-06,1.10634159003577e-05,9.87020174811936e-06
2011-07-01,1.21506048828496e-05,1.53957409682482e-05,7.35479244032286e-06,1.61692591041396e-05,1.22070262057029e-05,8.71618435949175e-06,9.2312564358618e-06,4.6920700101837e-06,1.28804419945966e-05,7.11818689287372e-06
2011-08-01,1.94992322510928e-05,1.49412589198795e-05,5.72782464774227e-06,1.70808554066892e-05,1.89758777147508e-05,8.70889313416054e-06,1.85910582027347e-05,3.34194367324228e-06,6.71467290744586e-06,8.36170041887488e-06
2011-09-01,2.00737578252808e-05,1.67814863135636e-05,5.71345583225846e-06,2.17215784693235e-05,1.41041989890403e-05,9.37640274447607e-06,1.11152073504598e-05,3.91062547527924e-06,1.05608791378933e-05,5.74715359594032e-06
2011-10-01,1.44148333670798e-05,1.63259678332371e-05,9.38285698012317e-06,1.6646184512407e-05,1.63412162465309e-05,1.29374315457242e-05,6.65847380496281e-06,6.13833348482958e-06,1.1582017030719e-05,8.71192679519562e-06
2011-11-01,2.41372779990414e-05,1.4593675892319e-05,6.90577419523702e-06,2.79310080290428e-05,1.78934306579973e-05,1.12988608792838e-05,1.07851266043878e-05,4.75368862700269e-06,1.68215043344162e-05,6.93541271109641e-06
2011-12-01,1.83924109733852e-05,1.53247862280055e-05,7.70407279804324e-06,2.37590870904381e-05,1.41110738287466e-05,1.16419693461883e-05,8.89277738687788e-06,5.15994488421204e-06,1.01631741564319e-05,8.9811383170437e-06
2012-01-01,1.77340305443932e-05,1.87276179942488e-05,8.49774079217002e-06,1.74984741614506e-05,1.27395267857605e-05,8.25687110735653e-06,1.06974477667167e-05,5.16275831787737e-06,8.52784950277171e-06,8.23738900049662e-06
2012-02-01,7.81900055918297e-06,1.71339440261386e-05,7.5619656953045e-06,1.30522303877486e-05,1.33006974228311e-05,1.16762370831192e-05,7.35633780420173e-06,4.87338101913573e-06,8.93795899993389e-06,5.91522900072312e-06
2012-03-01,1.24748512487063e-05,1.38845110344478e-05,7.5777186672443e-06,1.45415017943183e-05,1.38685646567811e-05,1.17014519318684e-05,8.11192231908075e-06,5.35479362049797e-06,7.81053578117899e-06,8.17889710528114e-06
2012-04-01,1.67296823134585e-05,1.94391719641785e-05,8.56995753259484e-06,1.35415877857186e-05,1.96364743828683e-05,1.12110750580264e-05,1.010735360694e-05,5.60260729507226e-06,1.09629819176937e-05,8.95479492350462e-06
2012-05-01,1.59649888098841e-05,1.34616888873806e-05,4.53723110953768e-06,2.19490369493739e-05,1.214713383787e-05,9.34866388584444e-06,6.15018209053224e-06,3.71462610923046e-06,1.01051378959309e-05,4.27754600159756e-06
2012-06-01,1.42219191680298e-05,1.14650077103048e-05,6.11115373129055e-06,1.86721188359008e-05,1.31855246755887e-05,1.07196205384013e-05,6.75783666581865e-06,3.94476590062141e-06,7.11861767139749e-06,5.22281559491248e-06
