date,type,n,n_wirtschaft,n_wirtschaft_unsicher,n_inflation
2010-01-01,words,2683361,795622,50143,63748
2010-02-01,docs,12616,2928,184,218
2010-02-01,words,2318262,719128,57246,62452
2010-03-01,docs,13840,3294,179,240
2010-03-01,words,2534481,777163,53898,70720
2010-04-01,docs,11846,2732,144,230
2010-04-01,words,2234892,686537,47959,71069
2010-05-01,docs,11160,2609,170,241
2010-05-01,words,2087100,648193,53405,77944
2010-06-01,docs,12675,2837,191,241
2010-06-01,words,2335978,705889,58021,66435
2010-07-01,docs,11735,2493,168,130
2010-07-01,words,2185050,626372,52427,41854
2010-08-01,docs,10108,2432,185,158
2010-08-01,words,1917641,604995,52531,49934
2010-09-01,docs,10632,2596,157,184
2010-09-01,words,2016207,648375,51940,57705
2010-10-01,docs,10748,2673,135,189
2010-10-01,words,2073631,678843,42408,57037
2010-11-01,docs,10379,2551,172,233
2010-11-01,words,1967265,643972,56590,69771
2010-12-01,docs,9903,2281,161,251
2010-12-01,words,1947115,596203,55476,83317
2011-01-01,docs,9359,2493,130,267
2011-01-01,words,1855177,641956,44393,79530
2011-02-01,docs,9538,2250,111,282
2011-02-01,words,1938270,603978,36297,84340
2011-03-01,docs,10453,2500,212,295
2011-03-01,words,2109648,671964,67447,91622
2011-04-01,docs,9288,2212,127,265
2011-04-01,words,1869920,606147,44080,82172
2011-05-01,docs,9939,2336,128,195
2011-05-01,words,2014871,620546,48385,59422
2011-06-01,docs,8871,2138,146,207
2011-06-01,words,1788591,572289,50084,62680
2011-07-01,docs,9707,2299,158,207
2011-07-01,words,1954387,619550,53406,64435
2011-08-01,docs,9759,2449,261,239
2011-08-01,words,1959927,650613,82398,77970
2011-09-01,docs,9978,2588,221,242
2011-09-01,words,2031825,688153,69536,77881
2011-10-01,docs,9735,2494,214,237
2011-10-01,words,1989269,666884,67636,78461
2011-11-01,docs,9788,2574,233,280
2011-11-01,words,1971057,672553,73477,94768
2011-12-01,docs,9608,2273,180,238
2011-12-01,words,1917338,604334,61710,82406
2012-01-01,docs,9442,2361,185,222
2012-01-01,words,1912479,627866,55375,72360
2012-02-01,docs,9422,2200,133,186
2012-02-01,words,1905211,588638,42991,63859
2012-03-01,docs,10210,2377,122,214
2012-03-01,words,2067538,622953,39215,72855
2012-04-01,docs,8776,2159,123,225
2012-04-01,words,1803525,581825,43686,70892
2012-05-01,docs,9004,2183,154,187
2012-05-01,words,1839533,607751,57668,69300
2012-06-01,docs,9786,2387,170,196
2012-06-01,words,2011920,655296,54419,63855
2012-07-01,docs,9727,2311,209,203
2012-07-01,words,1941106,623494,67029,74928
2012-08-01,docs,9749,2235,164,246
2012-08-01,words,1949275,592032,56093,85619
2012-09-01,docs,8954,2271,145,253
2012-09-01,words,1844740,601456,50308,87682
2012-10-01,docs,9556,2347,149,219
2012-10-01,words,1951728,633708,54164,75043
2012-11-01,docs,9257,2354,160,194
2012-11-01,words,1855305,616010,48863,60901
2012-12-01,docs,8439,1968,133,170
2012-12-01,words,1698341,536211,42708,56221
2013-01-01,docs,9095,2242,142,233
2013-01-01,words,1838971,599471,47105,74524
2013-02-01,docs,8493,2025,122,197
2013-02-01,words,1755509,559093,47554,61619
2013-03-01,docs,8861,2121,145,173
2013-03-01,words,1860808,589524,49232,69511
2013-04-01,docs,8615,2064,137,208
2013-04-01,words,1799257,577787,51650,77342
2013-05-01,docs,8141,1970,87,179
2013-05-01,words,1711968,551386,32407,62128
2013-06-01,docs,8529,2109,120,182
2013-06-01,words,1785213,576378,43096,62977
2013-07-01,docs,9216,2222,138,187
2013-07-01,words,1907753,621286,49684,64358
2013-08-01,docs,9020,1999,118,188
2013-08-01,words,1882436,560109,40190,57238
2013-09-01,docs,8455,1964,122,142
2013-09-01,words,1780629,558131,44185,47306
2013-10-01,docs,9008,2194,142,185
2013-10-01,words,1882856,601091,46872,67001
2013-11-01,docs,8884,2042,77,229
2013-11-01,words,1832996,559991,29963,71404
2013-12-01,docs,7742,1761,90,159
2013-12-01,words,1625645,494423,31283,57437
2014-01-01,docs,8484,2143,81,188
2014-01-01,words,1770679,587304,32804,58301
2014-02-01,docs,8415,1937,107,156
2014-02-01,words,1734958,534533,39893,47986
2014-03-01,docs,8877,2129,135,159
2014-03-01,words,1903375,608905,50915,50213
2014-04-01,docs,7971,1998,106,175
2014-04-01,words,1711660,567386,34308,54422
2014-05-01,docs,8380,2006,87,165
2014-05-01,words,1817430,597602,36400,55633
2014-06-01,docs,7970,1865,73,181
2014-06-01,words,1730945,544057,29884,59640
2014-07-01,docs,8885,2016,102,184
2014-07-01,words,1884917,570194,37045,67670
2014-08-01,docs,8055,1851,121,195
2014-08-01,words,1760793,546815,42544,66336
2014-09-01,docs,8379,2064,123,154
2014-09-01,words,1809910,582566,47217,47294
2014-10-01,docs,8807,2115,142,178
2014-10-01,words,1909476,606184,49216,64168
2014-11-01,docs,8235,2047,114,181
2014-11-01,words,1790102,577358,43846,61345
2014-12-01,docs,7920,1843,124,183
2014-12-01,words,1695456,527216,44350,59067
2015-01-01,docs,8074,1971,135,237
2015-01-01,words,1794717,588084,55430,78478
2015-02-01,docs,7831,1775,113,167
2015-02-01,words,1718849,537285,50173,57444
2015-03-01,docs,8466,1948,99,168
2015-03-01,words,1848807,578950,40749,54240
2015-04-01,docs,7966,1860,98,108
2015-04-01,words,1781222,547412,35907,40073
2015-05-01,docs,7342,1714,92,124
2015-05-01,words,1651723,526710,39608,44515
2015-06-01,docs,7920,1911,97,151
2015-06-01,words,1740893,576946,37603,50622
2015-07-01,docs,8396,2018,102,136
2015-07-01,words,1820301,597615,39309,49755
2015-08-01,docs,7763,1756,132,145
2015-08-01,words,1730955,545295,48148,48686
2015-09-01,docs,7868,1847,127,150
2015-09-01,words,1772319,546503,46436,45532
2015-10-01,docs,8304,1875,129,145
2015-10-01,words,1867071,565906,52384,46847
2015-11-01,docs,7767,1807,107,132
2015-11-01,words,1755329,533562,43632,41266
2015-12-01,docs,7358,1617,101,173
2015-12-01,words,1652572,492532,35942,60201
2016-01-01,docs,7357,1778,158,152
2016-01-01,words,1690204,551048,64722,48805
2016-02-01,docs,7524,1699,149,121
2016-02-01,words,1694792,502663,56891,49168
2016-03-01,docs,7426,1680,122,147
2016-03-01,words,1705664,519269,49765,51278
2016-04-01,docs,7875,1860,131,167
2016-04-01,words,1839929,594975,53761,60106
2016-05-01,docs,6872,1661,115,129
2016-05-01,words,1576986,504937,45993,45987
2016-06-01,docs,7888,1845,186,115
2016-06-01,words,1793884,570854,70973,42677
2016-07-01,docs,7540,1693,225,125
2016-07-01,words,1740703,518280,79811,51888
2016-08-01,docs,7738,1683,172,127
2016-08-01,words,1752437,511346,63671,44500
2016-09-01,docs,7480,1804,149,131
2016-09-01,words,1732240,549101,58638,45027
2016-10-01,docs,7375,1674,131,124
2016-10-01,words,1757691,530656,53600,47612
2016-11-01,docs,7506,1918,199,163
2016-11-01,words,1750608,594671,74124,58816
2016-12-01,docs,7377,1597,194,143
2016-12-01,words,1666671,501128,79845,53348
2017-01-01,docs,7069,1727,213,222
2017-01-01,words,1675229,552614,87323,77925
2017-02-01,docs,6828,1573,164,144
2017-02-01,words,1587964,494483,68816,58121
2017-03-01,docs,7763,1772,158,164
2017-03-01,words,1807061,557865,61397,56426
2017-04-01,docs,6518,1441,154,144
2017-04-01,words,1570624,487659,66310,50285
2017-05-01,docs,7056,1605,128,121
2017-05-01,words,1693000,536945,53701,44923
2017-06-01,docs,6803,1608,116,140
2017-06-01,words,1643887,516516,49140,51322
2017-07-01,docs,7029,1543,118,124
2017-07-01,words,1692621,519595,49051,48461
2017-08-01,docs,7005,1737,128,148
2017-08-01,words,1681940,553320,52317,52551
2017-09-01,docs,7119,1625,100,147
2017-09-01,words,1748219,549089,46753,57229
2017-10-01,docs,6671,1544,128,117
2017-10-01,words,1627717,514306,56662,44096
2017-11-01,docs,6972,1647,139,140
2017-11-01,words,1729928,554254,57065,57124
2017-12-01,docs,6600,1412,93,115
2017-12-01,words,1567301,478706,42521,44893
2018-01-01,docs,8675,2177,140,219
2018-01-01,words,2200462,730150,64200,84824
2018-02-01,docs,8346,1811,112,201
2018-02-01,words,2089370,629167,51220,78530
2018-03-01,docs,8829,2088,155,157
2018-03-01,words,2267538,726214,67719,58839
2018-04-01,docs,7973,1825,138,144
2018-04-01,words,2040204,625730,56306,51049
2018-05-01,docs,7690,1887,144,164
2018-05-01,words,2013515,662777,65941,60979
2018-06-01,docs,8825,1985,182,188
2018-06-01,words,2257372,699048,77098,74622
2018-07-01,docs,8585,2067,167,197
2018-07-01,words,2178729,705913,66103,73834
2018-08-01,docs,8435,2179,185,216
2018-08-01,words,2192030,759835,76590,79399
2018-09-01,docs,7815,1943,155,195
2018-09-01,words,2016393,670123,66334,71026
2018-10-01,docs,8767,2273,190,197
2018-10-01,words,2268213,787224,84696,76838
2018-11-01,docs,8454,2125,189,156
2018-11-01,words,2229485,740016,82506,64912
2018-12-01,docs,5463,1217,96,81
2018-12-01,words,1310075,403508,40899,32987
2019-01-01,docs,5341,1301,145,75
2019-01-01,words,1232457,413837,55543,30074
2019-02-01,docs,5601,1341,127,85
2019-02-01,words,1364891,439835,53120,32434
2019-03-01,docs,7027,1601,164,99
2019-03-01,words,1766086,552400,65898,42306
2019-04-01,docs,6300,1594,119,118
2019-04-01,words,1615852,555086,55949,45778
2019-05-01,docs,6566,1631,131,90
2019-05-01,words,1691361,578960,55201,39705
2019-06-01,docs,6095,1507,126,123
2019-06-01,words,1556328,528043,50180,49882
2019-07-01,docs,6923,1691,164,164
2019-07-01,words,1763948,582803,68899,63586
2019-08-01,docs,6868,1781,171,149
2019-08-01,words,1760284,616390,69455,61822
2019-09-01,docs,6294,1630,152,127
2019-09-01,words,1623117,580863,68999,54648
2019-10-01,docs,6770,1732,149,110
2019-10-01,words,1726551,592682,63074,49764
2019-11-01,docs,6569,1677,148,82
2019-11-01,words,1672859,591710,66481,31922
2019-12-01,docs,6036,1495,115,114
2019-12-01,words,1528753,537114,49971,49531
2020-01-01,docs,6584,1845,155,118
2020-01-01,words,1684766,642332,71762,50701
2020-02-01,docs,6134,1615,161,105
2020-02-01,words,1604039,570425,71297,44232
2020-03-01,docs,6416,2015,278,59
2020-03-01,words,1657996,692268,124773,25128
2020-04-01,docs,5788,1902,203,80
2020-04-01,words,1470885,671709,93388,34514
2020-05-01,docs,5750,1785,202,80
2020-05-01,words,1479174,635657,96436,38393
2020-06-01,docs,5788,1799,181,86
2020-06-01,words,1522876,631227,79899,44946
2020-07-01,docs,6626,1959,182,90
2020-07-01,words,1701048,668382,74692,32549
2020-08-01,docs,6219,1769,150,130
2020-08-01,words,1615651,621522,65491,50959
2020-09-01,docs,6241,1812,161,122
2020-09-01,words,1633689,617459,67007,43035
2020-10-01,docs,6546,1898,190,116
2020-10-01,words,1742250,675534,88328,50711
2020-11-01,docs,6036,1721,162,98
2020-11-01,words,1631017,605233,70703,43750
2020-12-01,docs,5952,1641,120,110
2020-12-01,words,1591990,588765,54899,47605
2021-01-01,docs,5406,1587,131,108
2021-01-01,words,1479842,568622,59752,46942
2021-02-01,docs,5836,1674,113,133
2021-02-01,words,1581599,619690,54303,55883
2021-03-01,docs,6724,1849,140,210
2021-03-01,words,1807467,670067,62365,79341
2021-04-01,docs,6086,1601,103,126
2021-04-01,words,1626597,583658,45088,54294
2021-05-01,docs,5733,1497,101,179
2021-05-01,words,1534811,551511,52878,75174
2021-06-01,docs,6281,1630,105,233
2021-06-01,words,1704589,601835,52132,93282
2021-07-01,docs,6551,1667,119,208
2021-07-01,words,1806822,618262,52574,81609
2021-08-01,docs,6152,1486,131,186
2021-08-01,words,1671021,557821,58732,78002
2021-09-01,docs,5719,1601,124,211
2021-09-01,words,1535245,592132,56434,88998
2021-10-01,docs,5406,1447,91,293
2021-10-01,words,1461169,545745,43116,126655
2021-11-01,docs,5439,1395,115,276
2021-11-01,words,1475596,528211,55286,121805
2021-12-01,docs,5399,1409,125,267
2021-12-01,words,1458090,540225,63918,115147
2022-01-01,docs,5286,1404,121,354
2022-01-01,words,1450422,535246,59242,158805
2022-02-01,docs,5559,1422,115,308
2022-02-01,words,1520247,545842,57479,133685
2022-03-01,docs,6011,1764,206,356
2022-03-01,words,1660782,657282,95952,160275
2022-04-01,docs,5147,1398,154,397
2022-04-01,words,1397932,543541,74462,171475
2022-05-01,docs,5367,1515,173,523
2022-05-01,words,1455168,556932,76923,225604
2022-06-01,docs,5168,1448,148,571
2022-06-01,words,1408155,548379,71367,252019
2022-07-01,docs,5394,1563,179,650
2022-07-01,words,1468477,594423,86815,278351
2022-08-01,docs,5472,1542,176,641
2022-08-01,words,1489219,586509,83889,278198
2022-09-01,docs,5167,1586,181,625
2022-09-01,words,1428995,609216,84116,279488
2022-10-01,docs,5299,1528,154,587
2022-10-01,words,1471876,587469,69665,256176
2022-11-01,docs,5148,1480,145,581
2022-11-01,words,1407781,551516,69785,243241
2022-12-01,docs,5155,1385,148,508
2022-12-01,words,1408525,522961,70294,236239
2023-01-01,docs,4954,1437,125,528
2023-01-01,words,1399104,542964,52538,232450
2023-02-01,docs,4740,1345,113,468
2023-02-01,words,1360246,532090,56608,204287
2023-03-01,docs,5308,1537,152,478
2023-03-01,words,1510469,590688,77166,208167
2023-04-01,docs,4673,1259,96,405
2023-04-01,words,1317387,508192,47321,182219
2023-05-01,docs,4794,1376,134,410
2023-05-01,words,1359971,526871,65728,185505
2023-06-01,docs,4560,1144,107,326
2023-06-01,words,1283889,459801,56827,153596
2023-07-01,docs,4966,1393,121,407
2023-07-01,words,1434905,553798,56485,194271
2023-08-01,docs,5056,1494,140,428
2023-08-01,words,1426167,580307,58923,201069
2023-09-01,docs,4973,1384,128,352
2023-09-01,words,1429097,542397,69159,154059
2023-10-01,docs,5079,1331,138,355
2023-10-01,words,1469697,530503,76575,158162
2023-11-01,docs,4903,1403,167,383
2023-11-01,words,1420343,547871,86984,171843
2023-12-01,docs,4505,1266,126,328
2023-12-01,words,1302781,505545,61655,147969
2024-01-01,docs,4858,1427,167,351
2024-01-01,words,1417493,560011,84953,168459
2024-02-01,docs,4578,1319,135,302
2024-02-01,words,1345818,514270,66024,141798
2024-03-01,docs,4919,1273,124,306
2024-03-01,words,1424759,527178,61981,147068
2024-04-01,docs,4720,1355,135,309
2024-04-01,words,1378479,550360,58954,153443
2024-05-01,docs,4416,1160,106,234
2024-05-01,words,1305804,482542,51499,125914
2024-06-01,docs,4840,1260,135,284
2024-06-01,words,1413012,511248,65595,137873
