"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01","2021-07-01","2021-10-01","2022-01-01","2022-04-01","2022-07-01","2022-10-01","2023-01-01","2023-04-01","2023-07-01","2023-10-01"
"2006-01-01",0.73488870779763,0.713489631714787,0.689744845829709,0.702778044731687,0.752104391881744,0.761142519178514,0.568476498564197,0.682236540759736,0.746800040888917,0.689977969259168,0.682284675588599,0.714597047248488,0.721131872185083,0.779047546159431,0.747590808857999,0.765208065069441,0.752853011297737,0.734630030959172,0.712402606895388,0.820905301296641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006-04-01",0.671529153698755,0.734249048143441,0.706413718509722,0.649989599412928,0.68417848568207,0.733741940192617,0.698853966613233,0.768684524701904,0.72774132307989,0.745106580081967,0.657667802006115,0.725813302733464,0.679514173055864,0.788406987372276,0.736443547697822,0.758420418842595,0.818409569753374,0.831625105902734,0.759782685336731,0.714243379185143,0.787787333515416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006-07-01",0.541539829250656,0.624903525745655,0.674184281571986,0.529553897485479,0.578855537338017,0.588726524761772,0.701850591119795,0.732170995321534,0.643559423107577,0.687553806036308,0.641738157385311,0.646235461257331,0.566810486520036,0.646202454398601,0.656761366234955,0.688608675864537,0.731650987702381,0.724951633866189,0.803959713087925,0.568164582281689,0.586837298230507,0.750314795415326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006-10-01",0.495947323375473,0.510949966323909,0.554444879483999,0.478016252739674,0.534990070450614,0.508881180397087,0.531689645670581,0.6898182386154,0.6109339392712,0.585625917811852,0.605147843479558,0.622344290620902,0.515172792741354,0.567631981175708,0.558276607143041,0.6745444723531,0.629868541754765,0.633817301599206,0.678428018129399,0.554212131489308,0.509552520974414,0.602395466079625,0.784584637739921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007-01-01",0.472021306828666,0.509451307858288,0.546010954814604,0.441656911502063,0.526621942470851,0.490028313720589,0.531821321156462,0.653355943005118,0.678660990043439,0.579992585039099,0.57587094560534,0.582342350604265,0.542580751921486,0.526558571263827,0.512953035950431,0.58803351851565,0.668468440227857,0.604518331733111,0.632376212625107,0.46188288283302,0.505311221632095,0.576202467446383,0.725440209897789,0.757784160267711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007-04-01",0.367046483859722,0.466748253326864,0.504207953397971,0.343202808066484,0.4089420718362,0.441352651517007,0.551256849136167,0.588524704723598,0.536996991305716,0.599485463761334,0.468745692374703,0.49947204788522,0.402589040942583,0.507157225284988,0.415434952920116,0.470030549768879,0.559500825128906,0.606835049042443,0.554633093482105,0.363041664296968,0.39198856454462,0.597119601424735,0.73084570900582,0.681623474119683,0.731088679082023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007-07-01",0.384042647991328,0.5002583377185,0.633932391105546,0.379611096634047,0.430279574435832,0.458901876247818,0.732196975780758,0.616448132598444,0.480786344843595,0.517426770478443,0.478638563435868,0.489234437719348,0.40889524510093,0.48945297105063,0.454646177332333,0.471074027420994,0.561566237120204,0.542096238320025,0.598062609768281,0.36416189490868,0.377174267377094,0.535797225049043,0.755766656208205,0.647262623650067,0.679233507084855,0.804309320109391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007-10-01",0.358714248267279,0.397264765031795,0.503791241594691,0.350291292618702,0.417302452491659,0.389916416245931,0.507305927378069,0.573849463367436,0.485510996060028,0.459789623516148,0.47277480468748,0.486958201565302,0.379662419340217,0.444854571556303,0.40935809656378,0.534297947689124,0.496114213934307,0.525143521774556,0.5626041055089,0.423783623808187,0.354194932099708,0.452359626560944,0.675371269419325,0.853729562342426,0.701495084729094,0.753024540586066,0.784323551184181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2008-01-01",0.406473739513552,0.44884796188863,0.496733156969012,0.378470453925893,0.451732502305517,0.444017612982339,0.49521362308941,0.517055135881467,0.560510132111839,0.488323869076933,0.435791258102288,0.456858137268434,0.437197988300372,0.47784447264591,0.385896036556481,0.460372879094835,0.522077707067591,0.511602106958832,0.470527372198344,0.408545940941296,0.441010570686376,0.490773496669673,0.568423535399631,0.584501217715885,0.786083699051538,0.718095578178378,0.690965764018825,0.690002628084376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2008-04-01",0.449980866388098,0.514014699582214,0.515298259632398,0.429572347162567,0.47987934466534,0.508426738759441,0.503434889667572,0.530914490091744,0.527922259144917,0.607266457803806,0.478735825433582,0.522390923271858,0.442665267058567,0.55803626726296,0.466477512480422,0.511933062856052,0.533205757837867,0.582446271719327,0.522302023850377,0.485035582261572,0.490796209066355,0.612808835826289,0.635862964721116,0.561257885164186,0.56993853919431,0.78127387555241,0.658859379363252,0.629896140020724,0.69206985684057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
